Date,Timestamp,Machine_ID,Operation_Mode,Temperature_C,Vibration_Hz,Power_Consumption_kW,Network_Latency_ms,Packet_Loss_%,Quality_Control_Defect_Rate_%,Production_Speed_units_per_hr,Predictive_Maintenance_Score,Error_Rate_%
01-01-2025,00:00:00,39,Idle,74.138,3.501,8.612,10.651,0.208,7.751,477.657,0.345,14.965
01-01-2025,00:01:00,29,Active,84.265,3.356,2.269,29.112,2.228,4.989,398.175,0.77,7.678
01-01-2025,00:02:00,15,Active,44.28,2.08,6.144,18.357,1.639,0.457,108.075,0.987,8.198
01-01-2025,00:03:00,43,Active,40.569,0.298,4.068,29.154,1.161,4.583,329.579,0.983,2.741
01-01-2025,00:04:00,8,Idle,75.064,0.346,6.226,34.029,4.797,2.288,159.114,0.573,12.101
01-01-2025,00:05:00,21,Active,80.96,1.386,9.868,48.399,0.575,4.721,147.688,0.897,0.041
01-01-2025,00:06:00,39,Active,76.435,4.815,2.617,23.517,2.089,4.895,222.975,0.221,9.032
01-01-2025,00:07:00,19,Active,37.67,4.437,7.659,35.451,3.258,4.236,241.457,0.912,0.738
01-01-2025,00:08:00,23,Active,75.547,3.128,2.679,43.648,2.884,7.552,148.458,0.501,11.446
01-01-2025,00:09:00,11,Active,56.325,0.648,3.402,23.986,0.564,6.336,281.258,0.805,3.688
01-01-2025,00:10:00,11,Active,66.551,1.61,2.613,1.609,4.328,8.739,142.85,0.27,14.122
01-01-2025,00:11:00,24,Active,54.136,0.864,6.757,46.548,0.913,3.09,438.301,0.388,6.988
01-01-2025,00:12:00,36,Active,30.807,4.331,2.403,35.077,1.635,5.256,66.025,0.213,4.37
01-01-2025,00:13:00,40,Active,89.775,4.376,5.278,24.485,1.843,5.594,172.273,0.829,3.453
01-01-2025,00:14:00,24,Active,40.551,1.52,5.848,8.266,3.474,3.383,384.275,0.657,0.766
01-01-2025,00:15:00,3,Active,70.397,3.385,2.628,15.413,2.319,2.787,489.49,0.101,5.275
01-01-2025,00:16:00,22,Active,43.298,0.601,4.401,1.998,3.627,8.022,346.866,0.734,12.559
01-01-2025,00:17:00,2,Active,32.225,3.92,5.971,49.16,4.788,2.556,267.614,0.323,3.638
01-01-2025,00:18:00,24,Active,89.329,2.134,5.479,41.284,3.917,4.682,420.447,0.678,0.866
01-01-2025,00:19:00,44,Active,30.387,1.104,3.97,24.176,2.433,7.159,58.407,0.979,5.366
01-01-2025,00:20:00,30,Active,67.059,2.256,1.929,15.513,0.164,4.81,168.54,0.903,2.221
01-01-2025,00:21:00,38,Active,74.395,1.942,2.695,21.857,1.598,8.859,66.484,0.168,10.713
01-01-2025,00:22:00,2,Active,63.941,3.201,9.011,14.916,2.807,4.901,258.687,0.092,10.739
01-01-2025,00:23:00,21,Idle,76.113,2.043,5.868,35.633,1.456,0.143,256.098,0.951,6.061
01-01-2025,00:24:00,33,Active,40.238,2.503,4.575,22.979,0.602,6.7,157.284,0.191,12.468
01-01-2025,00:25:00,12,Idle,31.429,3.016,7.275,36.291,0.914,3.635,498.303,0.028,4.025
01-01-2025,00:26:00,22,Idle,62.094,4.36,5.061,12.403,1.926,9.748,199.691,0.716,5.495
01-01-2025,00:27:00,44,Active,56.035,3.79,8.39,28.11,3.943,1.544,279.401,0.889,1.17
01-01-2025,00:28:00,25,Active,76.011,0.774,2.864,44.295,3.646,9.728,146.633,0.681,8.493
01-01-2025,00:29:00,49,Active,33.65,1.874,3.436,20.764,2.053,8.094,190.565,0.304,4.886
